,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
567,567,567,1.500 USD,Eugene Charlton-Rafalsky,0.0,Untitled Landscape,1974,"Signed and dated in pencil, lower right",This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Post-War,Expressionism
568,568,568,800 USD,T.L. Solien,0.0,Fragments Of Hope,1982,[nan],This work is in very good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,Post-War,Conceptual 
569,569,569,800 USD,Yvonne Jacquette,0.0,Fog River IV,1976,Signed lower right recto,This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Post-War,Expressionism
570,570,570,800 USD,Richard Ballard,0.0,Cypress,1990,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,[nan]
571,571,571,800 USD,Gregory Amenoff,0.0,Beacon Pink,1986,"Signed, dated, and titled lower right recto",This work is in very good condition.No obvious signs of damage to art.Not examined out of frame.,Post-War,Abstract
572,572,572,1.500 USD,Ray Ciarrocchi,0.0,"Cove at Bremen, Maine",1978,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Impressionism
573,573,573,800 USD,Anne Ross,0.0,Passageway,2008,[nan],This work is in good condition.Not examined out of frame.Numerical pencil inscription at back.A few small marks to finish on frame.,Contemporary,Surrealism
574,574,574,1.500 USD,Terence LaNoue,0.0,Deccan Suite #15,1979,Signed in pastel recto,This work is in very good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Abstract
575,575,575,800 USD,Frances Ashforth,0.0,"Horizon Series, Wind Series 1",2011,Signed Frances B Ashforth '11 in ink on lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Expressionism
576,576,576,800 USD,Len Jenshel,0.0,Monument Valley ,1987,[nan],This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
577,577,577,800 USD,Bruce Mclean,142.0,Spider,1986,Signed and dated lower right recto,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Expressionism
578,578,578,1.500 USD,Susan Wilmarth,0.0,Untitled,1977,[nan],This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Abstract
579,579,579,1.500 USD,John Berens,0.0,Trees and Darkness,1990,[nan],This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Expressionism
580,580,580,800 USD,Bill Jensen,134.0,Original Face,2011,[nan],This work is in very good condition.Artwork not examined outside of frame.Very minor rippling of paper.,Contemporary,Abstract
581,581,581,1.500 USD,Barbara Apel,0.0,Landscape No 8,1984,Apel inscribed at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor scuffs and wear to frame finish.,Post-War,Expressionism
582,582,582,1.500 USD,Dennis Leon,0.0,Djerassi #8,Circa 1983,Signed lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
583,583,583,1.500 USD,George Atkinson,0.0,North Of Pawnee,1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Impressionism
584,584,584,1.500 USD,John Berens,0.0,Romantic Landscape,1990,[nan],This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Expressionism
585,585,585,1.500 USD,Gwynn Murrill,100.0,Vicenza,Late 20th Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Realism
586,586,586,800 USD,Karen Kunc,0.0,Current's Edge,1987,"Signed, numbered and dated in pencil lower right",This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Abstract
587,587,587,1.500 USD,Keith Jacobshagen,146.0,Evening XXIII,1990,Signed K JACOBSHAGEN in ink at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.,Post-War,Expressionism
588,588,588,1.500 USD,Angelo Ippolito,0.0,An American Collage X,1976,Signed Ippolito 76 in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.Not obvious wear to artwork.Minor wear to frame surface.,Post-War,Surrealism
589,589,589,1.500 USD,Giora Dublon,0.0,Judean Hills,1989,Signed lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
590,590,590,800 USD,Alan Herman,0.0,"Untitled, Green Wall",1980,"Signed, dated and numbered in pencil lower right",This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Minimalism
591,591,591,800 USD,Gregory Crane,0.0,Red Island With Rainbow,2000,"Titled, dated and signed in pencil recto",This work is in very good condition.Not examined out of frame.Minor adhesive residue to plexiglass.No visible signs of wear to artwork.,Contemporary,Expressionism
592,592,592,800 USD,Richard Haas,0.0,Bayard-Condict Building,1970,"Signed, titled, dated, and numbered in pencil recto",This work is in good condition.Not examined out of frame.Minor surface scratches to plexiglass.Frame shows minor wear at edges.No visible signs of wear to artwork.,Post-War,Traditional
593,593,593,800 USD,Sandra Clark,0.0,Huntington #13,[nan],[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Contemporary,Surrealism
594,594,594,800 USD,T.L. Solien,0.0,Fragments Of Hope,1982,[nan],This work is in very good condition.Not examined out of frame.Discoloration to edges of paper.Yellowing to background paper.,Post-War,Conceptual 
595,595,595,1.500 USD,Nancy Brett,0.0,Roaring River 73,1989,[nan],This work is in very good condition.Artwork not examined outside of frame.Small pin holes at corners from previous hanging.No other signs of wear to artwork.,Post-War,Expressionism
596,596,596,800 USD,Adrian Wiszniewski,0.0,Landscape,1991,Inscribed 18/30 with indecipherable signature in pencil recto,This work is in good condition.Not examined out of frame.A few minor marks to finish on frame.Pencil and marker inscription at back of frame.,Post-War,Surrealism
597,597,597,800 USD,John Benton Harris,0.0,Brooklyn Heights NYC,2006,"Title, date, edition and artist signature with copyright on a piece of paper affixed verso.",This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Contemporary,Realism
598,598,598,800 USD,Freya Hansell,0.0,Untitled,1989,Signed Freya Hansell 1989 in pencil at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear of artwork.,Post-War,Expressionism
599,599,599,800 USD,Joel Janowitz,0.0,Pale Water,1987,"Titled, signed and dated in pencil recto",This work is in good condition.Not examined out of frame.Minor sheet undulation.Minor surface scratches to plexiglass.,Post-War,Expressionism
600,600,600,1.500 USD,John Andre Gundelfinger,0.0,Untitled No. 16,1977,[nan],This work is in good condition.Not examined out of frame.Minor sheet undulation due to artist's chosen working materials.,Post-War,Impressionism
601,601,601,1.500 USD,Bernard Chaet,142.0,Untitled Landscape #22,1978,Artist signature and date lower right recto,This work is in very good condition.Rippling to paper.Not examined out of frame.,Post-War,Expressionism
602,602,602,800 USD,Konrad Cramer,96.0,Gas Station With Tree,1931,"Numbered, signed, and dated in pencil recto",This work is in overall good condition.Not examined out of frame.Minor sheet undulation at top.Minor surface wear to plexiglass.,Modern,Realism
603,603,603,800 USD,Francis Ruyter,120.0,Beyond The Forest,2012,Signed by artist lower right recto,This work is in very good condition.Not examined out of frame.Slight ripple effect to paper through printing process.,Contemporary,Pop Art
604,604,604,1.500 USD,Charles Hawes,0.0,Miss Kim,1970,Charles Hawes inscribed at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Minor marks and scuffs to frame finish.,Post-War,Realism
605,605,605,1.500 USD,Alex Stohlberg,0.0,Night Barn,1990,Signed T.H.K recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Minimalism
606,606,606,800 USD,Frances Ashforth,0.0,"Horizon Series, Wind Series 4",2011,Signed Frances B Ashworth 2001 in ink at lower right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Expressionism
607,607,607,800 USD,Antonio Frasconi,0.0,High Derricks,1954,Artist signature lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Expressionism
608,608,608,1.500 USD,Stephen Lack,69.0,Red Citroen,1989,Signed and dated in pigment recto,This work is in good condition.Not examined out of frame.Minor sheet undulation.Small nicks to frame.,Post-War,Expressionism
609,609,609,1.500 USD,Peter Schroth,0.0,Landscape Study (Pines),1989,Inscribed Peter Schroth 9/89 in pencil lower right corner recto,This work is in very good condition.Not examined out of frame.No obvious imperfections to artwork observed.,Post-War,Surrealism
610,610,610,1.500 USD,Judy Ledgerwood,0.0,"Untitled, Evening Drawing",1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Abstract
611,611,611,1.500 USD,Judy Ledgerwood,0.0,"Untitled, Terra Cotta Red",1989,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Abstract
612,612,612,800 USD,Alan Herman,0.0,"Untitled, Pink Wall",1980,"Signed, dated, and numbered in pencil lower right",This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Minimalism
613,613,613,800 USD,Susan Hall,0.0,Solitary Oak,2012,Artist signature and date lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Contemporary,Realism
614,614,614,1.500 USD,Michele Boll,0.0,Hess,1980,Signed and dated lower right recto,This work is in very good condition.No visible signs of wear to artwork.Not examined out of frame.,Post-War,Realism
615,615,615,800 USD,Malcolm Morley,110.0,Erotic Fruitos,1993,Signed and dated in pencil lower right,This work is in very good condition.Not examined outside of frame.No obvious signs of damage to artwork.,Post-War,Expressionism
616,616,616,800 USD,Agnes Story,0.0,Fragment Of Pelicano Club,1984,"Title, artist signature, and date bottom recto",This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Post-War,Expressionism
617,617,617,1.275 USD,Denise Green,152.0,Becoming Subject,1979,Signed Denise Green on bottom right in pencil,This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.Some scrapes and wear to frame.,Contemporary,Abstract
618,618,618,1.275 USD,George T. Grant,0.0,Tomorrow Being Today,1987,[nan],This work is in very good condition.Not examined out of frame.Slight rippling to paper.,Contemporary,Abstract
619,619,619,1.500 USD,Dan Walsh,122.0,Viewing Suite II,2008,Signed and dated in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Minimalism
620,620,620,680 USD,Mark Fox,155.0,Beneath,2012,Mark Fox 12 on bottom right in pencil,This work is in good condition.Not examined outside of frame.Minor rippling to paper.No other obvious signs of wear to art.,Contemporary,Abstract
621,621,621,800 USD,Kate Whiteford,0.0,Sitelines,1989,"Signed and dated in pencil lower right, Kate Whiteford, '89",Not examined outside of frame.No obvious damage to artwork.,Post-War,Abstract
622,622,622,800 USD,Kate Whiteford,0.0,Sitelines,1989,"Signed and dated in pencil lower right, Kate Whiteford '89",This work is in good condition.Not examined outside of frame.No obvious damage to artwork.,Post-War,Abstract
623,623,623,1.500 USD,Jane Rosenberg,0.0,Upright Curves Number 2,1977,Signed and dated in pencil lower right recto.,This work is in very good condition.Discoloration to edges of paper.Not examined out of frame.,Post-War,Minimalism
624,624,624,1.500 USD,RICHARD WOODS,141.0,"Remnant Number 1, Around The Fireplace",2012,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
625,625,625,1.500 USD,Karim Noureldin,64.0,"Untitled, 2000",2008,[nan],This work is in good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Minimalism
626,626,626,1.500 USD,Dan Walsh,122.0,Viewing Suite IV,2008,Signed and dated in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Scratches and nicks to frame.,Contemporary,Abstract
627,627,627,680 USD,Paul Levy,0.0,Commonwealth of Massachusetts Building Code,1975,Signed in pencil c Paul M. Levy '75 lower right; marked Commonwealth of Massachusetts Building Code in center; edition marked 21/50 lower left,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Small smudges to matt.,Modern,Pop Art
628,628,628,1.275 USD,Clinton J. Hill,104.0,Untitled NBR 58,1975,Signed C Hill bottom right in pencil,This work is in good condition.Not examined out of frame.No obvious signs of wear to art.Light buckling to paper.,Contemporary,Abstract
629,629,629,1.500 USD,Frederick Wardy,0.0,Untitled,1974,Frederick Wardy 74 in ink on bottom right recto.,This work is in good condition.Artwork not examined outside of frame.Minor discoloration at paper edges.No other obvious signs of wear to artwork.,Post-War,Minimalism
630,630,630,680 USD,Diane Cionni,0.0,Reason And Romance #9,2012,Signed in pencil DKC 2012 lower right,This work is in good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
631,631,631,1.275 USD,Wayne Amedee,0.0,Source of Freedom,1991,Signed in pencil W. Amadee 1991 lower right,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
632,632,632,1.275 USD,Christopher Olav Jenssen,95.0,No 245,1985,"Signed at bottom in pencil 27 Juli 1985, Olav Christopher","This work is in good condition.Not examined out of frame.Small mark at bottom of paper.Hardware for wire, but wire is missing.",Contemporary,Abstract
633,633,633,1.500 USD,RICHARD WOODS,141.0,"Remnant Number 3, Under The Sink",2012,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
634,634,634,800 USD,"John F. Simon, Jr.",0.0,Heat from the Core Raises Mountains and Opens Oceans,2011,"Signed in pencil, R, 2011 lower right corner",This work is in very good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Conceptual 
635,635,635,680 USD,Ron Janowich,0.0,Untitled,1989,Ron Janowich 89 on bottom right in pencil,This work is in overall good condition.Work not examined outside of frame.Small holes at corners of paper from previous hanging.Minor rippling and creases in paper.No other signs of wear on art.,Contemporary,Abstract
636,636,636,680 USD,Mark Fox,155.0,Before,2012,Mark Fox on bottom right in pencil,This work is in good condition.Not examined outside of frame.Minor rippling to paper.No other obvious signs of wear to art.,Contemporary,Abstract
637,637,637,680 USD,Gregory Amenoff,0.0,Sweet Home,1988,[nan],This work is in good condition.Not examined outside of frame.Some rippling of paper.No other obvious signs of wear to art.,Contemporary,Abstract
638,638,638,1.275 USD,Paul Huxley,0.0,Study Relating To Modus Operandi Series XIV 6,Late 20th Century ,Signed Paul Huxley bottom right in pen,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Occasional small nicks and marks to frame.,Contemporary,Abstract
639,639,639,800 USD,JOHN WALKER,0.0,Sorrow,1992,Signed and inscribed recto in pencil,"This work is in good condition.Artwork not inspected out of frame.Scuffs, marks and dents to frame.",Post-War,Abstract
640,640,640,1.275 USD,Denise Green,152.0,Both And,1979,Signed Denise Green on bottom right in pencil,This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.Some scrapes and marks on frame.,Contemporary,Abstract
641,641,641,1.275 USD,Orly Genger,190.0,Untitled,2004,[nan],Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
642,642,642,800 USD,Joe Tilson,137.0,Signatures,1988,Tilson 1988 in pencil on bottom right recto.,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.No other obvious signs of wear to artwork.,Post-War,Conceptual 
643,643,643,680 USD,Tony Jannetti,0.0,The Third Emergence,1971,Signed in pencil Tony Jannetti '71 lower right with 1/35 lower left,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Modern,Abstract
644,644,644,1.275 USD,Michael Kenny,0.0,Working Drawing 1,1987,Michael Kenny 87 Working Drawing on top left in pencil,This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.,Contemporary,Abstract
645,645,645,800 USD,Paul Henry Ramirez,0.0,Juicy Little Passion #6,2005,Signed and inscribed recto in pencil,This work is in very good condition.Artwork not inspected out of frame.Light wear to frame.,Contemporary,Abstract
646,646,646,1.500 USD,David Storey,0.0,Living With The Lights On,1988,David Storey inscribed on reverse.,This work is in overall very good condition.No obvious signs of wear to artwork.,Post-War,Surrealism
647,647,647,800 USD,Bruce Porter,0.0,Bend,1979,[nan],This work is in good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Abstract
648,648,648,1.500 USD,RICHARD WOODS,141.0,"Remnant Number 5, By The Back Door",2012,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
649,649,649,1.500 USD,Richard Woods,141.0,Woodblock Inlays 3 of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
650,650,650,1.275 USD,Nancy Blum,0.0,Print Fields 1 (Pink),2002,Signed Nancy Blum bottom right in pen,This work is in good condition.Not examined out of frame.No obvious signs of wear to art.Frame is marked and scuffed at left top and bottom corners.,Contemporary,Abstract
651,651,651,680 USD,Antonio Frasconi,0.0,Cantos IV,1974,Signed Frasconi bottom right in pencil,This work is in overall good condition.Not examined out of frame.No obvious signs of wear to art.Small water mark to paper mat at bottom right corner,Modern,Abstract
652,652,652,1.275 USD,Stephanie Kirschen Cole,0.0,BB / Market,1978,[nan],Not examined out of frame.No obvious signs of wear to art.Small scratch to bottom of plexiglass.,Contemporary,Abstract
653,653,653,1.275 USD,Mary Heebner,107.0,Powder,1979,Heebner 79 inscribed on bottom right,This work is in good condition.Not examined outside of frame.No obvious signs wear to artMinor scrape to corner of frame.,Modern,Abstract
654,654,654,800 USD,Barbara Schwartz,0.0,Untitled,2001,Barbara Schwartz 2001 in pencil on bottom right recto.,This work is in very good condition.Artwork not examined outside of frame.Minor rippling of paper consistent with process.No obvious signs of wear to artwork.,Contemporary,Expressionism
655,655,655,1.500 USD,Frederick Wardy,0.0,Untitled,1974,Frederick Wardy 74 in ink at bottom right recto.,This work is in good condition.Artwork not examined outside of frame.Minor discoloration at paper edges.Minor rippling of paper.,Post-War,Minimalism
656,656,656,1.275 USD,Fred Gutzeit,0.0,Balls with Red,1971,Signed in pencil F. Gutzeit 4/71 lower right,This work is in very good condition.Not examined out of frame.Slight rippling to paper.,Modern,Abstract
657,657,657,680 USD,Mary Hambleton,0.0,Untitled,1986,Hambleton 86 on bottom right in pencil,This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.Minor wear to frame.,Contemporary,Abstract
658,658,658,1.275 USD,Christopher Olav Jenssen,95.0,No 249,1986,"Signed at bottom in pencil 17 Aug 1986, Olav Christopher",This work is in good condition.Not examined out of frame.No obvious signs of wear to art.Hardware for wire but wire is missing.,Contemporary,Abstract
659,659,659,800 USD,Joe Tilson,137.0,Zikkurat,1975,Signed and inscribed recto in pencil,This work is in good condition.Artwork not inspected out of frame.Scratching to plexiglass.Adhesive on frame.Light wear to frame.,Post-War,Pop Art
660,660,660,1.500 USD,RICHARD WOODS,141.0,Woodblock Inlays 4 Of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
661,661,661,1.275 USD,Derek Hirst,0.0,"Sacred Mountain Series II, #5",1987,Signed Derek Hirst 1987 lower right in pencil,Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
662,662,662,680 USD,Dianna Frid,0.0,On The Modification Of Clouds III,2011,Signed D. Frid 2011 in pencil lower left,Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
663,663,663,680 USD,Reed Anderson,0.0,Bad Neighbors (Red),2013,Signed RA bottom right in pencil,This work is in good condition.Not examined out of frame.No obvious signs of wear to art.Light marks to frame.Slight buckling to paper.,Contemporary,Abstract
664,664,664,1.500 USD,Chuck Webster,153.0,Untitled,2011,[nan],This work is in very good condition.Some yellowing to paper at top of piece.Not examined out of frame.,Contemporary,Abstract
665,665,665,680 USD,Mark Fox,155.0,Between,2012,Mark Fox 12 on bottom right in pencil,This work is in good condition.Not examined outside of frame.Minor rippling to paper.No other obvious signs of wear to art.,Contemporary,Abstract
666,666,666,1.275 USD,Tony King,0.0,Untitled,1975,T King 75 on bottom right in pencil,Not examined outside of frame.No obvious signs of wear to art.,Post-War,Geometric Abstraction
667,667,667,1.500 USD,RICHARD WOODS,141.0,"Remnant Number 6, Inside The Bedroom Cupboard",2012,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
668,668,668,800 USD,Stephanie Snider,0.0,Untitled (III),2001,Lower right recto in pencil,This work is in very good condition.Artwork not inspected out of frame.Scratch to plexiglass.,Contemporary,Surrealism
669,669,669,680 USD,Charles Hewitt,0.0,Pink Basket,2009,Signed and dated lower right in pencil,Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
670,670,670,800 USD,Steven Sorman,99.0,Unheard of III,2002,"Signed and dated in pencil lower right, Steven Sorman, 2002",This work is in good condition.Not examined outside of frame.No obvious damage to artwork.,Contemporary,Abstract
671,671,671,1.500 USD,Laura Wait,0.0,Scriptograph #14,2012,Wait 12 in pencil on bottom right recto,This work is in very good condition.Not examined outside of frame.Minor curving of paper at bottom.No other obvious signs of wear to artwork.,Contemporary,Expressionism
672,672,672,1.500 USD,Michael Tetherow,0.0,Early Summer Drawing,1990,M.T. 90 in pencil on bottom center right recto,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.Scuff on top center of wood frame.,Post-War,Expressionism
673,673,673,800 USD,Stephanie Snider,0.0,Untitled (II),2001,Lower right recto in pencil,This work is in very good condition.Artwork not inspected out of frame.,Contemporary,Abstract
674,674,674,1.500 USD,Bruce Mclean,142.0,Misdirected Concerns,1988,Bruce Mclean 1988 inscribed at bottom right recto,This work is in very good condition.Artwork not examined outside of frame.Some rippling of paper consistent with process.No other obvious signs of wear to artwork.,Post-War,Expressionism
675,675,675,680 USD,Hanlyn Davies,0.0,Jumble,1975,Signed in pencil lower right Jumble 31/129 Hanlyn Davies 1975,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Modern,Abstract
676,676,676,1.500 USD,Chuck Webster,153.0,Untitled,2011,[nan],This work is in very good condition.No obvious signs of wear to art.Not examined out of frame.,Contemporary,Abstract
677,677,677,1.500 USD,Margaret Ponce Israel,0.0,Letter,20th Century ,[nan],This work is in good condition.Not examined outside of frame.Minor discoloration to paper.Minor rippling to paper.,Post-War,Conceptual 
678,678,678,1.275 USD,Anne Gilman,0.0,"A Known Quantity, Subway Series #3",2000,Artist signed in pen lower right,Not examined out of frame.Creases from fold-marks to subway map.,Contemporary,Conceptual 
679,679,679,1.275 USD,Nicholas Howey,0.0,Untitled,1989,[nan],This work is in good condition.Not examined outside of frame.Some rippling of paper.No other obvious signs of wear to art.,Contemporary,Abstract
680,680,680,1.500 USD,Jane Rosenberg,0.0,Upright Curves Number 3,1977,Signed and dated in pencil lower right recto,This work is in very good condition.Discoloration to edges of paper.Not examined out of frame.,Post-War,Minimalism
681,681,681,1.275 USD,Michael Hardesty,0.0,Untitled,1990,Hardesty 90 on bottom right in pencil,This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.Artwork is slipping off hinges on top left corner.,Contemporary,Abstract
682,682,682,1.275 USD,Oliver Hirsch,0.0,Watched Water NBR 4,21st Century ,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
683,683,683,800 USD,MICHAEL MAZUR ,0.0,Serpentine With Orchids,2005,Mazur 05 in pencil on bottom right recto.,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Contemporary,Pop Art
684,684,684,680 USD,Dianna Frid,0.0,On The Modification Of Clouds I,2011,Signed D. Frid 2011 in pencil lower left,Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
685,685,685,1.500 USD,Richard Woods,141.0,Woodblock Inlays 1 of 4,2011,Artist signature and edition in pencil lower right recto.,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Pop Art
686,686,686,680 USD,Chris Costan,0.0,MT 2000,1997,Signed C. Costan '97 in pencil lower right,Not examined out of frame.Minor rippling to paper.,Contemporary,Abstract
687,687,687,800 USD,Kate Whiteford,0.0,Sitelines,1989,"Signed and dated in pencil lower right, Kate Whiteford '89",This work is in good condition with no obvious damage to the artwork.Not examined outside of frame.,Post-War,Abstract
688,688,688,680 USD,Chris Costan,0.0,MT 2011,1997,Signed C. Costan '97 in pencil lower right,Not examined out of frame.Minor rippling to paper.,Contemporary,Abstract
689,689,689,800 USD,Steven Sorman,99.0,Unheard of II,2002,"Signed and dated in pencil lower right, Steven Sorman, 2002",This work is in very good condition.Not examined outside of frame.No obvious damage to artwork.,Contemporary,Abstract
690,690,690,1.275 USD,Porfirio Di Donna,0.0,Untitled #123,1975,Signed Di Donna 75 in pencil lower right,Not examined out of frame.Discoloration to edges of art.Discoloration to background paper.,Contemporary,Abstract
691,691,691,680 USD,Robert Kushner,122.0,Reclining Man 29,1987,[nan],This work is in good condition with no obvious signs of wear to art.Not examined out of frame.Small smudge to plexiglass at top left.Marks to frame.,Contemporary,Abstract
692,692,692,800 USD,Steven Sorman,99.0,Spaces Between Words A Deaf Man Sees,1978,"Signed and numbered in pencil, lower center Steven Sorman, '78","This work is in overall good condition.Not examined outside of frame.Slight buckling of paper, consistent with process.",Post-War,Minimalism
693,693,693,1.500 USD,Ann Turnley,0.0,Fancy Wall,1978,[nan],This work is in very good condition.Artwork not inspected out of frame.Dent and light wear to frame on bottom right corner.,Post-War,Abstract
694,694,694,1.275 USD,David Hornung,0.0,Ladder / Triangle,1988,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of wear to art.,Contemporary,Surrealism
695,695,695,800 USD,Brian O'Doherty,0.0,Untitled,2011,"Signed and dated in pencil lower right, Brian O'Doherty, 2011",This work is in overall good condition.Not examined outside of frame.No obvious damage to artwork.,Contemporary,Abstract
696,696,696,1.275 USD,Orly Genger,190.0,Untitled,2004,[nan],Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
697,697,697,680 USD,Stephen Hartman,0.0,Untitled,1978,Signed S Hartman bottom left in pencil,This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.Occasional nicks to frame.,Contemporary,Abstract
698,698,698,800 USD,Donald Traver,0.0,Untitled (From Vessels and Voids),1994,Signed and dated upper right recto in pencil,This work is in very good condition.Artwork not inspected out of frame.Pin holes on top corners.Light wear to frame.,Post-War,Abstract
699,699,699,800 USD,Stephanie Snider,0.0,Untitled (I),2001,Lower right recto in pencil,This work is in very good condition.Artwork not inspected out of frame.Scratch to plexiglass.,Contemporary,Surrealism
700,700,700,800 USD,Kirsten Stolle,0.0,Diego I,2002,K. Stolle 02 in pencil on bottom right recto.,This work is in very good condition.Artwork not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Abstract
701,701,701,680 USD,Mark Fox,155.0,Below,2012,Mark Fox 12 on bottom right in pencil,This work is in overall good condition.No examined outside of frame.Minor rippling of paper.No other obvious signs of wear to art.,Contemporary,Abstract
702,702,702,1.275 USD,Ralph Hilton,0.0,Untitled,1981,[nan],This work is in good condition.Not examined outside of frame.No obvious signs of wear to art.,Contemporary,Abstract
703,703,703,1.500 USD,Christine Olsavsky,0.0,Humid Hearts,1989,[nan],"This work is in good condition.Artwork not inspected out of frame.Marks, paint loss and dents to frame.",Post-War,Abstract
704,704,704,680 USD,John Hoyland,165.0,Mael,1986,Signed John Hoyland '86 in pencil lower right,Not examined out of frame.Minor rippling to paper.,Contemporary,Abstract
705,705,705,1.500 USD,Bob Nugent,0.0,Letter Folio,1977,[nan],This work is in very good condition.Not examined outside of frame.No obvious signs of wear to artwork.,Post-War,Expressionism
706,706,706,1.500 USD,Mark Wilson,0.0,Untitled,2008,[nan],This work is in very good condition.Not examined out of frame.No obvious signs of wear to art.,Contemporary,Abstract
