,Unnamed: 0.1,Unnamed: 0,price,artist,fame,title,yearCreation,signed,condition,period,movement
394,394,394,7.000 USD,Thomas Struth,135.0,"Schönfeldstrasse (Bronze-Reiter), München",1984,"Signed, titled, dated, and editioned '2/10' in pencil on the reverse.Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. Upon close inspection in raking light, the following are visible: scattered, minor pitting; a few hairline scratches and scuffs; a sharp, crescent-shaped handling crease in the lower left quadrant; and a v-shaped soft crease in the upper right quadrant.The signed label on the reverse of the frame is annotated 'DM 3,200.-' in an unidentified hand in ink.",Post-War,Realism
395,395,395,7.000 USD,Thomas Struth,135.0,"Yamaguchi, Landscape with Garages",1986,"Signed, titled, dated, and editioned '3/10' in pencil on the reverse. Signed in ink on a label and with a Lisson Gallery, London, label on the reverse.","This large ferrotyped print, on double-weight Agfa paper, is in generally excellent condition. When examined closely in raking light, some minor pitting and a few deposits of original retouching are visible. The upper and lower margins are very gently rippled. The signed label on the reverse of the frame is annotated 'DM 2.900.-' in an unidentified hand in pencil. ",Post-War,Realism
396,396,396,70.000 USD,Willem de Kooning,163.0,Untitled ,1955,"Signed de Kooning in pencil; inscribed in pencil right side recto ""to Leonardo from Bill with Love"" ","This drawing is in good and stable condition consistent with its age, the inherent quality of the artist's chosen materials, and other examples of the artist's works using similar materials.The paper support is toned overall with some additional darkening corresponding to the area exposed to light. There is a liquid stain at the top left corner, which is likely attributable to the milieu of the artist’s studio. The sheet is structurally sound with some small edge tears and dents. An old tear that crosses the width of the sheet has been well-mended during an earlier restoration procedure through the application of an overall paper lining on the verso surface.The sheet has natural undulations and minor distortions throughout. The UV examination did not reveal anything further of note and provided additional support for the observations above.Presented with a window mat that covers the sheet edges.",Post-War,Abstract Expressionism
397,397,397,995 USD,Mariann Loveland-Miller,0.0,Day Box ,1983,[nan],This work is in overall good condition.There is a small abrasion center left.,Post-War,Surrealism
398,398,398,995 USD,Mary Frank,139.0,Untitled (3 Figures),1993,"Inscribed, signed and dated “For Micki Mary Frank 1993” lower right",This work is in good condition.Not examined out of frame.,Post-War,Abstract
399,399,399,1.895 USD,Anders Knutsson,124.0,The Swimmers ,Circa 1980,[nan],Not examined out of frame. Tenting and buckling inherent in artist's chosen working materials.,Post-War,Abstract
400,400,400,595 USD,Paul Manes,0.0,Untitled ,1986,"Signed and dated “Paul Manes ‘86” lower right; Inscribed “For Mickey, Happy 50th” lower left",This work is in good condition.Not examined out of frame.,Post-War,Abstract
401,401,401,1.595 USD,Mary Frank,139.0,Mating Gnus ,Late 20th Century ,"Signed “Mary Frank” lower right, inscribed in marker on the backing “33600J” upper right",Not examined out of frame.Abrasion to plexiglass.,Post-War,Realism
402,402,402,995 USD,Fred Mitchell,0.0,"Killyan Kill, Afternoon ",1985,"Signed and dated lower right “Fred Mitchell 85""; Titled lower left “Killyan [?] Kill, Afternoon”",This work is in good condition.Not examined out of frame.,Post-War,Expressionism
403,403,403,2.500 USD,Mary Frank,139.0,Untitled,1976,Signed Mary Frank 1976 in pencil verso ,This work is in good condition.Not examined out of frame.Back of piece not examined.,Post-War,Art Brut
404,404,404,8.000 USD,Walker Evans,169.0,Passengers on the Subway,1939,The photographer's credit stamp (Keller B) and '33' in pencil on the reverse.,"This print, on double-weight paper with a slight surface sheen, is in generally excellent condition. There are a few soft handling creases overall and a sharp crease in the lower left corner that does not appear to break the emulsion. The lower margin corners are bumped and the upper paper-ply is peeling. On the reverse, each corner in slightly discolored.",Modern,Realism
